size_sq_ft,propertyType,bedrooms,localityName,price,price_per_sqft,location_avg_price
690,Independent Floor,2,New Ashok Nagar,13000,18.840579710144926,12721.019108280254
650,Independent Floor,2,New Ashok Nagar,10000,15.384615384615385,12721.019108280254
590,Independent Floor,2,New Ashok Nagar,13000,22.033898305084747,12721.019108280254
590,Independent Floor,2,New Ashok Nagar,12500,21.1864406779661,12721.019108280254
590,Independent Floor,2,New Ashok Nagar,11000,18.64406779661017,12721.019108280254
490,Independent Floor,2,New Ashok Nagar,10000,20.408163265306122,12721.019108280254
580,Independent Floor,2,New Ashok Nagar,10500,18.103448275862068,12721.019108280254
590,Independent Floor,2,New Ashok Nagar,11000,18.64406779661017,12721.019108280254
690,Independent Floor,2,New Ashok Nagar,14500,21.014492753623188,12721.019108280254
590,Independent Floor,2,New Ashok Nagar,12000,20.338983050847457,12721.019108280254
690,Independent Floor,2,New Ashok Nagar,14000,20.28985507246377,12721.019108280254
700,Independent Floor,2,New Ashok Nagar,15000,21.428571428571427,12721.019108280254
670,Independent Floor,2,New Ashok Nagar,14000,20.895522388059703,12721.019108280254
698,Independent Floor,2,New Ashok Nagar,13500,19.340974212034386,12721.019108280254
690,Independent Floor,2,New Ashok Nagar,14000,20.28985507246377,12721.019108280254
590,Independent Floor,2,New Ashok Nagar,11500,19.491525423728813,12721.019108280254
690,Independent Floor,2,New Ashok Nagar,13000,18.840579710144926,12721.019108280254
430,Independent Floor,2,New Ashok Nagar,9500,22.093023255813954,12721.019108280254
690,Independent Floor,2,New Ashok Nagar,15500,22.463768115942027,12721.019108280254
690,Independent Floor,2,New Ashok Nagar,17000,24.63768115942029,12721.019108280254
590,Independent Floor,2,New Ashok Nagar,12500,21.1864406779661,12721.019108280254
590,Independent Floor,2,New Ashok Nagar,12000,20.338983050847457,12721.019108280254
690,Independent Floor,2,New Ashok Nagar,12500,18.115942028985508,12721.019108280254
690,Independent Floor,2,New Ashok Nagar,14000,20.28985507246377,12721.019108280254
598,Independent Floor,2,New Ashok Nagar,11000,18.39464882943144,12721.019108280254
590,Independent Floor,2,New Ashok Nagar,13000,22.033898305084747,12721.019108280254
490,Independent Floor,2,New Ashok Nagar,10000,20.408163265306122,12721.019108280254
590,Independent Floor,2,New Ashok Nagar,12500,21.1864406779661,12721.019108280254
490,Independent Floor,2,New Ashok Nagar,11000,22.448979591836736,12721.019108280254
520,Independent Floor,2,New Ashok Nagar,12800,24.615384615384617,12721.019108280254
540,Independent Floor,2,New Ashok Nagar,11500,21.296296296296298,12721.019108280254
650,Independent Floor,2,New Ashok Nagar,13500,20.76923076923077,12721.019108280254
790,Independent Floor,2,New Ashok Nagar,13000,16.455696202531644,12721.019108280254
590,Independent Floor,2,New Ashok Nagar,13000,22.033898305084747,12721.019108280254
690,Independent Floor,2,New Ashok Nagar,13000,18.840579710144926,12721.019108280254
690,Independent Floor,2,New Ashok Nagar,12500,18.115942028985508,12721.019108280254
2600,Independent Floor,4,Swasthya Vihar,40000,15.384615384615385,32710.714285714286
1700,Independent Floor,2,Preet Vihar,26000,15.294117647058824,23355.555555555555
1500,Independent Floor,3,Preet Vihar,19000,12.666666666666666,23355.555555555555
1500,Independent Floor,3,Preet Vihar,19000,12.666666666666666,23355.555555555555
1300,Independent Floor,2,Preet Vihar,20000,15.384615384615385,23355.555555555555
600,Independent Floor,2,Preet Vihar,15000,25.0,23355.555555555555
1000,Independent Floor,3,Preet Vihar,15000,15.0,23355.555555555555
1000,Independent Floor,3,Preet Vihar,16000,16.0,23355.555555555555
1000,Independent Floor,2,Preet Vihar,12000,12.0,23355.555555555555
800,Independent Floor,2,Preet Vihar,14000,17.5,23355.555555555555
1000,Independent Floor,3,Preet Vihar,16500,16.5,23355.555555555555
750,Independent Floor,2,Preet Vihar,13000,17.333333333333332,23355.555555555555
700,Independent Floor,2,Preet Vihar,11000,15.714285714285714,23355.555555555555
1000,Independent Floor,2,Preet Vihar,14000,14.0,23355.555555555555
800,Independent Floor,2,Preet Vihar,10000,12.5,23355.555555555555
1000,Independent Floor,2,Preet Vihar,15000,15.0,23355.555555555555
800,Independent Floor,2,Preet Vihar,14000,17.5,23355.555555555555
850,Independent Floor,2,Preet Vihar,12000,14.117647058823529,23355.555555555555
1000,Independent Floor,3,Preet Vihar,15000,15.0,23355.555555555555
800,Independent Floor,2,Preet Vihar,12000,15.0,23355.555555555555
900,Independent Floor,3,mayur vihar phase 1,19500,21.666666666666668,19561.660079051384
1000,Independent Floor,3,mayur vihar phase 1,25500,25.5,19561.660079051384
1400,Apartment,3,mayur vihar phase 1,24000,17.142857142857142,19561.660079051384
1350,Apartment,3,mayur vihar phase 1,28500,21.11111111111111,19561.660079051384
900,Independent Floor,2,mayur vihar phase 1,21000,23.333333333333332,19561.660079051384
700,Independent Floor,2,mayur vihar phase 1,13500,19.285714285714285,19561.660079051384
900,Independent Floor,2,mayur vihar phase 1,16500,18.333333333333332,19561.660079051384
900,Independent Floor,3,mayur vihar phase 1,19000,21.11111111111111,19561.660079051384
900,Independent Floor,3,mayur vihar phase 1,19000,21.11111111111111,19561.660079051384
700,Independent Floor,2,mayur vihar phase 1,16500,23.571428571428573,19561.660079051384
900,Independent Floor,2,mayur vihar phase 1,22500,25.0,19561.660079051384
1800,Independent Floor,3,mayur vihar phase 1,25000,13.88888888888889,19561.660079051384
